Report Id,Report Title,Report Type,Report Date,Language,Source Code,Source Page,Report Path,Company Name,Orbit Company Id,Ticker,Pages Path,Blocks Path,Pages Vector Path,Blocks Vector Path
bgDTpXiFYKV0KAeVlwX3wMuWIgXdudCON,10-Q,10085 - Quarterly Reports,2024/1/30,en,stock_us,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-008814-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-789019-000095017024008814-msft-20231231.htm.pdf,Microsoft Corporation,tXmne0RQQbPP3gaO,MSFT,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024008814-msft-20231231.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024008814-msft-20231231.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024008814-msft-20231231.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024008814-msft-20231231.htm.pdf/blocks.txt.vector
bgDTkvbF2WRhPIEFjYmZTCgbxT7vYzB5K,10-Q,10085 - Quarterly Reports,2024/4/25,en,stock_us,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-048288-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-789019-000095017024048288-msft-20240331.htm.pdf,Microsoft Corporation,tXmne0RQQbPP3gaO,MSFT,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024048288-msft-20240331.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024048288-msft-20240331.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024048288-msft-20240331.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024048288-msft-20240331.htm.pdf/blocks.txt.vector
bgDTpxncYzFCY69X4cssTlz2UuaSkYdps,10-K,10002 - Annual Reports,2024/7/30,en,stock_us,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-087843-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-789019-000095017024087843-msft-20240630.htm.pdf,Microsoft Corporation,tXmne0RQQbPP3gaO,MSFT,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024087843-msft-20240630.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024087843-msft-20240630.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024087843-msft-20240630.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024087843-msft-20240630.htm.pdf/blocks.txt.vector
bgDTm5pvUKT6xN83fgEMilnSjwKaHxyBe,10-Q,10085 - Quarterly Reports,2024/10/30,en,stock_us,https://www.sec.gov/Archives/edgar/data/789019/0000950170-24-118967-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-789019-000095017024118967-msft-20240930.htm.pdf,Microsoft Corporation,tXmne0RQQbPP3gaO,MSFT,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024118967-msft-20240930.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024118967-msft-20240930.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024118967-msft-20240930.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017024118967-msft-20240930.htm.pdf/blocks.txt.vector
bgDRuNsvFPWlqMDGInaK1ZFhNsOJgDarx,10-Q,10085 - Quarterly Reports,2025/1/29,en,stock_us,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-010491-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-789019-000095017025010491-msft-20241231.htm.pdf,Microsoft Corporation,tXmne0RQQbPP3gaO,MSFT,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017025010491-msft-20241231.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017025010491-msft-20241231.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017025010491-msft-20241231.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-789019-000095017025010491-msft-20241231.htm.pdf/blocks.txt.vector
bgDRDRrm0TTl3beS4Xu58lSuKRj9T0EbU,10-K,10002 - Annual Reports,2024/1/31,en,stock_us,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000022-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-1652044-000165204424000022-goog-20231231.htm.pdf,Alphabet Inc.,tXmoG2W2gFCNL8WE,GOOG,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000022-goog-20231231.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000022-goog-20231231.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000022-goog-20231231.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000022-goog-20231231.htm.pdf/blocks.txt.vector
bgDRuIJjty2zjyYOjSeXBWu7Ay9jAS8vj,10-Q,10085 - Quarterly Reports,2024/4/26,en,stock_us,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000053-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-1652044-000165204424000053-goog-20240331.htm.pdf,Alphabet Inc.,tXmoG2W2gFCNL8WE,GOOG,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000053-goog-20240331.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000053-goog-20240331.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000053-goog-20240331.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000053-goog-20240331.htm.pdf/blocks.txt.vector
bgDTrYeHV5DoskGfmLkPnufuy4vi1AFvb,10-Q,10085 - Quarterly Reports,2024/7/24,en,stock_us,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000079-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-1652044-000165204424000079-goog-20240630.htm.pdf,Alphabet Inc.,tXmoG2W2gFCNL8WE,GOOG,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000079-goog-20240630.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000079-goog-20240630.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000079-goog-20240630.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000079-goog-20240630.htm.pdf/blocks.txt.vector
bgDRJemtymEt96MzpSXPglIc1lw33dyED,10-Q,10085 - Quarterly Reports,2024/10/30,en,stock_us,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000118-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-1652044-000165204424000118-goog-20240930.htm.pdf,Alphabet Inc.,tXmoG2W2gFCNL8WE,GOOG,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000118-goog-20240930.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000118-goog-20240930.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000118-goog-20240930.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204424000118-goog-20240930.htm.pdf/blocks.txt.vector
bgDTndLQ6dav65sej0PD35FnVXsg89Vo8,10-K,10002 - Annual Reports,2025/2/5,en,stock_us,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000014-index.htm,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/edgar-data-1652044-000165204425000014-goog-20241231.htm.pdf,Alphabet Inc.,tXmoG2W2gFCNL8WE,GOOG,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204425000014-goog-20241231.htm.pdf/pages.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204425000014-goog-20241231.htm.pdf/blocks.txt,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204425000014-goog-20241231.htm.pdf/pages.txt.vector,https://ot-cdn.s3.us-west-2.amazonaws.com/top500-us-official-docs/txt-vector/edgar-data-1652044-000165204425000014-goog-20241231.htm.pdf/blocks.txt.vector
