Ticker,Company Name,Market Cap,Orbit Company Id
LH,Labcorp Holdings Inc.,19.89B,tXmoG3nNnTGsyyKb
ZBRA,Zebra Technologies Corporation,19.83B,tXmne0RQQbPRcKCB
FSLR,"First Solar, Inc.",19.79B,tXmne0RQQbUoLshd
CTRA,Coterra Energy Inc.,19.76B,tXmne0RQQbPLw3kO
COO,"The Cooper Companies, Inc.",19.73B,tXmne0RQQbPLxkv7
OMC,Omnicom Group Inc.,19.33B,tXmne0RQQbPMFrMY
PFG,"Principal Financial Group, Inc.",19.25B,tXmne0RQQbPJgxc8
NRG,"NRG Energy, Inc.",19.15B,tXmne0RQQbUq2NtR
DRI,"Darden Restaurants, Inc.",19.10B,tXmne0RQQbPLxBiJ
LUV,Southwest Airlines Co.,19.05B,tXmne0RQQbPMGgR0
BF.B,Brown-Forman Corporation,19.05B,tXmne0RQQbPNN7yI
MAA,"Mid-America Apartment Communities, Inc.",18.92B,tXmne0RQPS46xa0W
KEY,KeyCorp,18.85B,tXmne0RQQbPMECL7
SNA,Snap-on Incorporated,18.79B,tXmne0RQQbPMGgNQ
PODD,Insulet Corporation,18.70B,tXmne0RQQbPKoVFk
BBY,"Best Buy Co., Inc.",18.63B,tXmne0RQQbPLwMdK
L,Loews Corporation,18.40B,tXmne0RQPSVFOANp
JBHT,"J.B. Hunt Transport Services, Inc.",18.31B,tXmne0RQQbPOWvKf
ARE,"Alexandria Real Estate Equities, Inc.",18.23B,tXmne0RQQbPLwdZr
GEN,Gen Digital Inc.,18.14B,tXmne0RQQbPRbnDZ
HOLX,"Hologic, Inc.",18.13B,tXmne0RQQbPOWvxZ
BALL,Ball Corporation,18.03B,tXmne0RQQbPLwL1g
FDS,FactSet Research Systems Inc.,18.02B,tXmne0RQQbPLxStV
DGX,Quest Diagnostics Incorporated,18.01B,tXmne0RQQbPMFI2u
VRSN,"VeriSign, Inc.",17.43B,tXmne0RQQbPRccok
NI,NiSource Inc.,17.41B,tXmne0RQQbUpWkHB
PNR,Pentair plc,17.21B,tXmoG22miu6J0456
TRMB,Trimble Inc.,17.21B,tXmoG27IRnI0Yk1i
KIM,Kimco Realty Corporation,16.94B,tXmne0RQQbPMECL6
NWS,News Corporation,16.94B,tXmoG2XdSktNQREc
IEX,IDEX Corporation,16.89B,tXmne0RQQbPMElkp
TER,"Teradyne, Inc.",16.87B,tXmne0RQQbPNMb05
MOH,"Molina Healthcare, Inc.",16.85B,tXmne0RQQbUpTRgl
GPC,Genuine Parts Company,16.79B,tXmne0RQQbPMDNyZ
ALGN,"Align Technology, Inc.",16.71B,tXmne0RQQbPH6uJg
BAX,Baxter International Inc.,16.66B,tXmne0RQQbPLwL5p
EXPD,"Expeditors International of Washington, Inc.",16.65B,tXmne0RQQbPOVGoM
MAS,Masco Corporation,16.61B,tXmne0RQQbPMETPf
HRL,Hormel Foods Corporation,16.57B,tXmne0RQQbPMD4Kd
NWSA,News Corporation,16.57B,tXmoG2XdSktNQREc
UDR,"UDR, Inc.",16.53B,tXmne0RQQbPNMtci
J,Jacobs Solutions Inc.,16.46B,tXmne0RQQbPMECzI
EG,"Everest Group, Ltd.",16.20B,tXmne0RQQbUpWkLL
MRO,Marathon Oil Corporation,16.18B,tXmne0RQQbPNMsZU
ULTA,"Ulta Beauty, Inc.",16.17B,tXmoG27KafoHDl3r
DG,Dollar General Corporation,16.11B,tXmne0RQQbPLvFPb
LNT,Alliant Energy Corporation,15.97B,tXmne0RQQbUpWkPV
AVY,Avery Dennison Corporation,15.88B,tXmne0RQQbPLwvra
VTRS,Viatris Inc.,15.67B,tXmoG2W8HmWVJLrT
CF,"CF Industries Holdings, Inc.",15.65B,tXmne0RQQbPLwveL
DOC,"Healthpeak Properties, Inc.",15.29B,tXmne0RQQbPMD4tM
TXT,Textron Inc.,15.19B,tXmne0RQQbPNMb5c
DPZ,"Domino's Pizza, Inc.",15.16B,tXmne0RQPS9T1B83
SMCI,"Super Micro Computer, Inc.",15.11B,tXmne0RQQbPP3N0j
AMCR,Amcor plc,14.89B,tXmoG3c5ukmJ3fpk
EVRG,"Evergy, Inc.",14.80B,tXmoG27PlcQNpMTd
JBL,Jabil Inc.,14.46B,tXmne0RQQbPMECvF
NDSN,Nordson Corporation,14.44B,tXmne0RQQbPP34U2
MRNA,"Moderna, Inc.",14.22B,tXmoG3c73R3KctEy
FFIV,"F5, Inc.",14.19B,tXmne0RQQbUsbtnU
BXP,"BXP, Inc.",14.03B,tXmne0RQQbPLwMp7
POOL,Pool Corporation,13.74B,tXmne0RQQbPP5bfw
INCY,Incyte Corporation,13.69B,tXmne0RQQbPOWv4V
DLTR,"Dollar Tree, Inc.",13.58B,tXmne0RQQbPOURQT
REG,Regency Centers Corporation,13.57B,tXmoG22mgjUiinrG
RVTY,"Revvity, Inc.",13.55B,tXmne0RQQbUq2NCf
SWKS,"Skyworks Solutions, Inc.",13.34B,tXmne0RQQbPNNipC
EPAM,"EPAM Systems, Inc.",13.30B,tXmne0RTneTqG9fT
DVA,DaVita Inc.,13.23B,tXmne0RQQbPNMsJw
AKAM,"Akamai Technologies, Inc.",13.21B,tXmne0RQQbUq3lD4
SWK,"Stanley Black & Decker, Inc.",13.17B,tXmne0RQQbPMGg4l
CPT,Camden Property Trust,13.05B,tXmne0RQQbPLw3o5
CPB,Campbell Soup Company,13.04B,tXmne0RQQbPLw3cH
UHS,"Universal Health Services, Inc.",13.03B,tXmne0RQQbPNMtkH
CAG,"Conagra Brands, Inc.",12.94B,tXmne0RQQbPLxkr3
CHRW,"C.H. Robinson Worldwide, Inc.",12.89B,tXmne0RQQbPNOn8K
TPR,"Tapestry, Inc.",12.89B,tXmne0RQQbPJfYQA
ALB,Albemarle Corporation,12.88B,tXmne0RQQbPLwdM5
RL,Ralph Lauren Corporation,12.55B,tXmne0RQQbPLvWSb
JKHY,"Jack Henry & Associates, Inc.",12.48B,tXmne0RQQbPOWe51
TAP,Molson Coors Beverage Company,12.44B,tXmne0RQQbPLxA2b
APTV,Aptiv PLC,12.36B,tXmoG2W8F7KmNCca
BG,Bunge Global SA,12.30B,tXmne0RQQbUsaD6z
PAYC,"Paycom Software, Inc.",12.28B,tXmoG22mivf7moiD
HST,"Host Hotels & Resorts, Inc.",12.18B,tXmne0RQQbUq2wHt
ALLE,Allegion plc,12.12B,tXmoG22mfG2EUgyH
DAY,Dayforce Inc.,11.97B,tXmoG22rppwhZXvh
SJM,The J. M. Smucker Company,11.93B,tXmne0RQQbPRc14m
KMX,"CarMax, Inc.",11.88B,tXmne0RQQbPLxjY6
SOLV,Solventum Corporation,11.81B,tXmoG3c2TP9iodqu
JNPR,"Juniper Networks, Inc.",11.81B,tXmne0RQQbUsc7Of
EMN,Eastman Chemical Company,11.74B,tXmne0RQQbPLxBDi
NCLH,Norwegian Cruise Line Holdings Ltd.,11.45B,tXmoG2G4b6ljDKjW
BEN,"Franklin Resources, Inc.",11.33B,tXmne0RQQbPMDNip
AIZ,"Assurant, Inc.",11.33B,tXmne0RQPS9T1lmC
MGM,MGM Resorts International,11.17B,tXmne0RQQbPMETGS
TECH,Bio-Techne Corporation,10.92B,tXmne0RQQbPRbEml
LW,"Lamb Weston Holdings, Inc.",10.85B,tXmoG27HBkEaD1PA
GNRC,Generac Holdings Inc.,10.72B,tXmoG2G4aRdw0CgZ
CTLT,"Catalent, Inc.",10.71B,tXmoG2G39BH4lXL3
IPG,"The Interpublic Group of Companies, Inc.",10.57B,tXmne0RQQbPMECns
PNW,Pinnacle West Capital Corporation,10.44B,tXmne0RQQbPMFIHN
AOS,A. O. Smith Corporation,10.40B,tXmne0RQQbPRc10m
MKTX,MarketAxess Holdings Inc.,10.01B,tXmne0RQQbUus5eR
WYNN,"Wynn Resorts, Limited",9.93B,tXmne0RQQbUtkX2a
LKQ,LKQ Corporation,9.70B,tXmne0RQPS9T2rqu
FRT,Federal Realty Investment Trust,9.68B,tXmne0RQQbPLxSx4
CRL,"Charles River Laboratories International, Inc.",9.61B,tXmne0RQQbPH8G3u
AES,The AES Corporation,9.44B,tXmne0RQQbPLvXg5
HSIC,"Henry Schein, Inc.",9.19B,tXmne0RQQbPP5bz3
GL,Globe Life Inc.,9.13B,tXmne0RQQbPNMsJs
TFX,Teleflex Incorporated,8.70B,tXmne0RQQbPNMbW0
HAS,"Hasbro, Inc.",8.63B,tXmne0RQQbPMD4tI
MHK,"Mohawk Industries, Inc.",8.57B,tXmne0RQQbPMFaJV
ENPH,"Enphase Energy, Inc.",8.56B,tXmne0RUFaD3bC3V
APA,APA Corporation,8.19B,tXmne0RQQbPLwu6D
MOS,The Mosaic Company,8.08B,tXmoG2G4aezNooHJ
CZR,"Caesars Entertainment, Inc.",7.99B,tXmne0RQQbPMD4pA
CE,Celanese Corporation,7.97B,tXmne0RQPS9T1TAU
IVZ,Invesco Ltd.,7.82B,tXmne0RUFauCqQrR
MTCH,"Match Group, Inc.",7.64B,tXmoG2G39B0LBcXs
HII,"Huntington Ingalls Industries, Inc.",7.44B,tXmoG2G5r9D8gaJh
BWA,BorgWarner Inc.,7.28B,tXmne0RQQbPLw2V4
FMC,FMC Corporation,7.14B,tXmne0RQQbPLxSpT
WBA,"Walgreens Boots Alliance, Inc.",7.12B,tXmoG22qahUlBh6W
PARA,Paramount Global,7.06B,tXmne0RQQbPRdiEz
QRVO,"Qorvo, Inc.",6.21B,tXmoG22oQaSIDH1M
AMTM,"Amentum Holdings, Inc.",5.45B,tXmoG3iuFeVO6cdK
